step,reward
1,0.5797
2,0.5399
3,0.5104
4,0.5542
5,0.5217
6,0.5902
7,0.5550
8,0.5637
9,0.5649
10,0.5916
11,0.5602
12,0.6139
13,0.5567
14,0.5455
15,0.6108
16,0.5739
17,0.6010
18,0.6080
19,0.5817
20,0.6056
21,0.6049
22,0.6248
23,0.6626
24,0.6257
25,0.6503
26,0.6858
27,0.6609
28,0.7016
29,0.6725
30,0.7352
